energy-kcal_value,fat_value,saturated-fat_value,carbohydrates_value,sugars_value,proteins_value,salt_value,sodium_value,energy_value,off:nutriscore_score,off:ecoscore_score,cluster,code
434.0,16.0,4.5,61.0,24.0,8.4,0.43,0.172,434.0,12.0,61.0,0,8480000093554
381.0,6.3,1.3,65.7,9.0,10.4,0.7,0.28,1608.0,-1.0,20.0,2,5900020036988
79.0,1.7,0.3,12.0,5.5,2.6,0.4,0.16,334.0,-1.0,84.0,4,20187897
61.0,3.0,0.3,7.1,3.4,1.1,0.1,0.04,61.0,0.0,63.0,4,7394376616709
423.0,13.4,1.7,64.9,0.9,11.2,0.01,0.004,1774.0,-4.0,30.0,2,4056489167853
381.0,1.6,0.2,83.6,0.0,7.0,1.4,0.56,1615.0,6.0,49.0,2,20408923
383.33333333333,5.0,1.0,71.0,17.666666666667,9.3333333333333,0.83333333333333,0.333333333333332,383.33333333333,0.0,25.0,2,7613287157201
113.0,0.3,0.1,25.0,2.4,2.1,0.34,0.136,113.0,3.0,31.0,4,8010265640202
453.0,17.0,1.9,64.0,18.0,9.7,0.03,0.012,1902.0,-1.0,66.0,2,3596710446605
392.0,8.0,4.5,65.0,19.0,10.0,0.05,0.02,392.0,7.0,25.0,0,5053827139335
458.0,18.0,2.0,63.0,22.0,8.0,0.5,0.2,458.0,7.0,66.0,0,8480000093578
50.0,2.1,0.2,6.9,3.8,0.6,0.08,0.032,208.0,0.0,59.0,4,8480000138484
462.0,19.0,2.0,57.0,12.0,8.5,0.01,0.004,462.0,-2.0,74.0,2,8710100126402
424.0,12.0,4.4,67.0,16.0,9.1,0.08,0.032,1783.0,7.0,79.0,0,3560071407650
374.0,2.1,0.7,75.2,22.3,9.1,0.45,0.18,1582.0,-1.0,47.0,2,7613036668910
372.0,4.8,1.6,70.0,25.0,8.0,0.27,0.108,372.0,6.0,25.0,0,8480000095084
426.0,12.1,1.5,64.9,18.6,11.1,0.03,0.012,1793.0,0.0,68.0,2,4088600169866
186.0,7.2,0.8,19.0,2.1,6.8,0.13,0.052,778.0,-2.0,25.0,4,5059319001241
345.0,5.6,1.8,60.1,19.4,8.8,0.08,0.032,1441.0,-1.0,66.0,2,20003234
491.0,25.0,10.0,55.0,21.0,8.0,0.67,0.268,491.0,16.0,20.0,0,5053827139229
440.0,13.0,4.2,72.0,39.0,7.3,1.2,0.48,1854.0,18.0,30.0,0,8480000093776
455.0,19.3,4.9,57.1,16.3,8.1,0.48,0.192,455.0,9.0,25.0,0,8710100127300
73.0,1.4,0.2,11.0,5.1,2.7,0.4,0.16,309.0,1.0,98.0,4,20856090
47.0,0.8,0.1,8.3,6.3,1.4,0.075,0.03,196.0,1.0,78.0,4,20879082
370.0,8.0,1.5,59.0,1.1,11.0,0.03,0.012,370.0,-5.0,62.0,2,5010029220629
291.0,12.9,2.9,30.8,4.1,10.9,1.16,0.464,291.0,5.0,45.5032693093584,2,4056489009184
366.0,3.1,0.7,55.0,2.0,25.0,1.7,0.68,366.0,6.0,48.0,2,8480000864833
372.0,7.0,1.3,59.0,0.7,14.0,0.02,0.008,1566.0,-5.0,84.0,2,3596710443673
